experiment_id,task_id,cohort_id,unresolved_construct_validity,status,claim_boundary
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,No rich repeated action contract passed; diuretic change frequency narrowly missed the frozen support threshold.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,hf_no_rich_action_exclusion,hf_diuretic_decongestion,At least one reward component is unavailable; no missing reward is inferred or scalarized.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,respiratory_peep_fio2_observed_k25,respiratory_ventilator_settings,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,respiratory_peep_fio2_observed_k25,respiratory_ventilator_settings,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,respiratory_peep_fio2_observed_k25,respiratory_ventilator_settings,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,respiratory_peep_fio2_observed_k25,respiratory_ventilator_settings,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,respiratory_peep_fio2_observed_k25,respiratory_ventilator_settings,PEEP/FiO2 evaluation is restricted to jointly observed pre-action settings; missing settings are not the lowest action class.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,sepsis_original25_reference,sepsis_reference,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,sepsis_original25_reference,sepsis_reference,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,sepsis_original25_reference,sepsis_reference,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,sepsis_original25_reference,sepsis_reference,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,sepsis_original25_reference,sepsis_reference,The exact E060 action grid is observational and diagnostic-only; suspected infection and SOFA proxy are not prospective adjudication.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,shock_fluid_vasopressor_k25,shock_fluid_bolus_support,Cohort-label overlap counts are unavailable from the aggregate release and require restricted identifier-bearing linkage.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,shock_fluid_vasopressor_k25,shock_fluid_bolus_support,The exact tie-break among multiple qualifying anchors is not exported as an aggregate receipt; one frozen anchor per stay is assumed by the released episode contract.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,shock_fluid_vasopressor_k25,shock_fluid_bolus_support,Current-window exposure may be concurrent with physiology recorded in the same 4h bin; it is not a causal treatment assignment.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,shock_fluid_vasopressor_k25,shock_fluid_bolus_support,Administrative/structured phenotypes may not match clinician-adjudicated disease states.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
KDD092,shock_fluid_vasopressor_k25,shock_fluid_bolus_support,The card fails point-dynamics comparability and remains a hard transition stress test.,requires_independent_review,"Independent ICU/cardiac construct review packet only; not clinical approval. No cohort or task contract change, treatment recommendation, causal effect, counterfactual benefit, policy improvement, clinical utility, deployment, or autonomous-decision claim."
