manuscript_token,reported_value,manuscript_location,source_artifact,source_filter,estimator_or_metric,split_or_surface,uncertainty_method
gaussian_transition_ensemble_recursive_width90,3.0424,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=recursive,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_recursive_crps,0.4576,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=recursive,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
gaussian_transition_ensemble_recursive_mean_absolute_coverage_error,0.0562,world-model uncertainty results,world_model_uncertainty_summary.csv,method=gaussian_transition_ensemble; evaluation_mode=recursive,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_one_step_coverage90,0.9170,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=one_step,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_one_step_width90,2.1291,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=one_step,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_one_step_crps,0.3407,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=one_step,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_one_step_mean_absolute_coverage_error,0.0401,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=one_step,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_recursive_coverage90,0.9037,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=recursive,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_recursive_width90,2.8727,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=recursive,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_recursive_crps,0.4851,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=recursive,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
grud_world_model_recursive_mean_absolute_coverage_error,0.0232,world-model uncertainty results,world_model_uncertainty_summary.csv,method=grud_world_model; evaluation_mode=recursive,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_one_step_coverage90,0.9174,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=one_step,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_one_step_width90,2.1066,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=one_step,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_one_step_crps,0.3371,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=one_step,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_one_step_mean_absolute_coverage_error,0.0399,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=one_step,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_recursive_coverage90,0.7098,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=recursive,task-balanced mean coverage90,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_recursive_width90,2.7843,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=recursive,task-balanced mean width90,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_recursive_crps,0.8387,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=recursive,task-balanced mean crps,development validation,"average executed seeds within task, then average six tasks"
transformer_world_model_recursive_mean_absolute_coverage_error,0.1638,world-model uncertainty results,world_model_uncertainty_summary.csv,method=transformer_world_model; evaluation_mode=recursive,task-balanced mean mean_absolute_coverage_error,development validation,"average executed seeds within task, then average six tasks"
respiratory_maximum_supported_action_moderate_primary_delta,0.0673,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=maximum_supported_action,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_behavior_cloning_moderate_primary_delta,0.0018,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=behavior_cloning,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_decision_transformer_adapter_moderate_primary_delta,0.0004,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=decision_transformer_adapter,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_discrete_bcq_moderate_primary_delta,-0.0008,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=discrete_bcq,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_discrete_cql_moderate_primary_delta,0.0061,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=discrete_cql,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_soft_spibb_moderate_primary_delta,0.0049,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=soft_spibb,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0366,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0366,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_grud_world_model__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0366,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=grud_world_model__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_transformer_world_model__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0366,known-value policy results,known_value_balanced_core.csv,task=respiratory; method=transformer_world_model__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_maximum_supported_action_moderate_primary_delta,0.0760,known-value policy results,known_value_balanced_core.csv,task=shock; method=maximum_supported_action,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_behavior_cloning_moderate_primary_delta,0.0006,known-value policy results,known_value_balanced_core.csv,task=shock; method=behavior_cloning,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_decision_transformer_adapter_moderate_primary_delta,0.0009,known-value policy results,known_value_balanced_core.csv,task=shock; method=decision_transformer_adapter,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_discrete_bcq_moderate_primary_delta,-0.0133,known-value policy results,known_value_balanced_core.csv,task=shock; method=discrete_bcq,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_discrete_cql_moderate_primary_delta,-0.0047,known-value policy results,known_value_balanced_core.csv,task=shock; method=discrete_cql,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_soft_spibb_moderate_primary_delta,-0.0032,known-value policy results,known_value_balanced_core.csv,task=shock; method=soft_spibb,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0324,known-value policy results,known_value_balanced_core.csv,task=shock; method=dreamer_v3_categorical_rssm__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0324,known-value policy results,known_value_balanced_core.csv,task=shock; method=gaussian_recurrent_ensemble__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_grud_world_model__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0324,known-value policy results,known_value_balanced_core.csv,task=shock; method=grud_world_model__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
shock_transformer_world_model__H4_categorical_CEM__support_constrained_moderate_primary_delta,0.0324,known-value policy results,known_value_balanced_core.csv,task=shock; method=transformer_world_model__H4_categorical_CEM__support_constrained,mean behavior-relative true-return difference,moderate primary known-value environment,three common-random-number paired evaluation seeds; mean paired SE reported separately
respiratory_moderate_point_leader,maximum_supported_action,known-value policy results,known_value_cross_task_summary.csv,task=respiratory,highest mean paired behavior-relative return within the fixed moderate-regime inventory,known-value environment,three common-random-number paired evaluation seeds
respiratory_moderate_point_leader_delta,0.0673,known-value policy results,known_value_cross_task_summary.csv,task=respiratory,mean paired behavior-relative return difference,known-value environment,three common-random-number paired evaluation seeds; pointwise descriptive leader only
shock_moderate_point_leader,maximum_supported_action,known-value policy results,known_value_cross_task_summary.csv,task=shock,highest mean paired behavior-relative return within the fixed moderate-regime inventory,known-value environment,three common-random-number paired evaluation seeds
shock_moderate_point_leader_delta,0.0760,known-value policy results,known_value_cross_task_summary.csv,task=shock,mean paired behavior-relative return difference,known-value environment,three common-random-number paired evaluation seeds; pointwise descriptive leader only
aki_rrt_moderate_point_leader,minimum_supported_action,known-value policy results,known_value_cross_task_summary.csv,task=aki_rrt,highest mean paired behavior-relative return within the fixed moderate-regime inventory,known-value environment,three common-random-number paired evaluation seeds
aki_rrt_moderate_point_leader_delta,0.1709,known-value policy results,known_value_cross_task_summary.csv,task=aki_rrt,mean paired behavior-relative return difference,known-value environment,three common-random-number paired evaluation seeds; pointwise descriptive leader only
heart_failure_moderate_point_leader,maximum_supported_action,known-value policy results,known_value_cross_task_summary.csv,task=heart_failure,highest mean paired behavior-relative return within the fixed moderate-regime inventory,known-value environment,three common-random-number paired evaluation seeds
heart_failure_moderate_point_leader_delta,0.0243,known-value policy results,known_value_cross_task_summary.csv,task=heart_failure,mean paired behavior-relative return difference,known-value environment,three common-random-number paired evaluation seeds; pointwise descriptive leader only
tier1_exact_finite_coverage_gate_passed,108,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing coverage_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_rank_gate_passed,144,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing rank_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_pairwise_gate_passed,800,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing pairwise_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_sign_gate_passed,137,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing sign_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_false_improvement_gate_passed,1204,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing false_improvement_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_ess_gate_passed,279,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing ess_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_support_gate_passed,1728,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing support_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_precision_gate_passed,1728,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing precision_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_finite_gate_passed,3264,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing finite_gate,known-value environment,frozen tuple-level pass/fail gate
tier1_exact_finite_approved_exact_contract_passed,32,OPE gate results,ope_gate_breakdown.csv,tier=tier1_exact_finite,exact contract tuples passing approved_exact_contract,known-value environment,frozen tuple-level pass/fail gate
