ehr_task,known_value_task,property,value,provenance_class,interpretation,contract_alignment,primary_bridge_eligible,source_artifact,claim_boundary
respiratory,respiratory,state_transition_kernel,known finite transition mechanism,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,state_correlation_structure,finite severity/subtype/momentum layout,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,latent_response_subtype,two synthetic subtypes with partial observation,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,missingness_process,Bernoulli process calibrated to EHR aggregate rate,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,termination_process,constant synthetic hazard calibrated to EHR aggregate prevalence,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,behavior_state_dependence,synthetic severity tilt over EHR aggregate action counts,hybrid_ehr_counts_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,support_mask_state_dependence,EHR-supported actions broadcast over synthetic states,hybrid_ehr_support_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,initial_state_distribution,synthetic severity/subtype/missingness distribution,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,world_model_weights,retrained separately per environment and seed,independent_synthetic_retraining,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
respiratory,respiratory,exact_policy_truth,backward induction in known finite mechanism,synthetic_exact_truth,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,action_count,25,ehr_aggregate,Frozen retrospective action contract cardinality,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,supported_action_count,25,ehr_aggregate,Train-frozen supported action classes,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,decision_horizon,11,ehr_aggregate_contract,Nominal repeated-decision horizon,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,missingness_rate,0.029259,ehr_aggregate,Aggregate observation missingness rate only,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,termination_prevalence,0.142459,ehr_aggregate,Aggregate terminal prevalence only,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,behavior_top_action_share,0.1462208458337365,ehr_aggregate,Aggregate action-count concentration,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,reward_scale,1.0,synthetic_normalization,Unit synthetic reward-scale convention,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,reward_sparsity,mixed_dense_terminal,synthetic_contract_specification,Mixed dense-terminal synthetic reward design,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,state_count,49,synthetic_finite_design,Finite severity/subtype/momentum/observation layout,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,response_components,low_state_harm;high_state_insufficient_action;intermediate_optimum;toxicity;delayed_benefit;subtype_heterogeneity;switch_cost;terminal_dense_tradeoff;partial_subtype_observation,synthetic_known_mechanism,Action-response and toxicity mechanisms known by construction,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,state_transition_kernel,known finite transition mechanism,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,state_correlation_structure,finite severity/subtype/momentum layout,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,latent_response_subtype,two synthetic subtypes with partial observation,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,missingness_process,Bernoulli process calibrated to EHR aggregate rate,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,termination_process,constant synthetic hazard calibrated to EHR aggregate prevalence,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,behavior_state_dependence,synthetic severity tilt over EHR aggregate action counts,hybrid_ehr_counts_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,support_mask_state_dependence,EHR-supported actions broadcast over synthetic states,hybrid_ehr_support_synthetic_process,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,initial_state_distribution,synthetic severity/subtype/missingness distribution,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,world_model_weights,retrained separately per environment and seed,independent_synthetic_retraining,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
shock,shock,exact_policy_truth,backward induction in known finite mechanism,synthetic_exact_truth,Known-value construction detail; not estimated as an EHR action response,aligned_action_dimension_and_decision_horizon,True,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,action_count,2,ehr_aggregate,Frozen retrospective action contract cardinality,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,supported_action_count,2,ehr_aggregate,Train-frozen supported action classes,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,decision_horizon,3,ehr_aggregate_contract,Nominal repeated-decision horizon,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,missingness_rate,0.9792514239218876,ehr_aggregate,Aggregate observation missingness rate only,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,termination_prevalence,0.1765679415842784,ehr_aggregate,Aggregate terminal prevalence only,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,behavior_top_action_share,0.8018714401952807,ehr_aggregate,Aggregate action-count concentration,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,reward_scale,1.0,synthetic_normalization,Unit synthetic reward-scale convention,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,reward_sparsity,mixed_dense_terminal,synthetic_contract_specification,Mixed dense-terminal synthetic reward design,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,state_count,49,synthetic_finite_design,Finite severity/subtype/momentum/observation layout,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,response_components,low_state_harm;high_state_insufficient_action;intermediate_optimum;toxicity;delayed_benefit;subtype_heterogeneity;switch_cost;terminal_dense_tradeoff;partial_subtype_observation,synthetic_known_mechanism,Action-response and toxicity mechanisms known by construction,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,state_transition_kernel,known finite transition mechanism,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,state_correlation_structure,finite severity/subtype/momentum layout,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,latent_response_subtype,two synthetic subtypes with partial observation,synthetic_known_mechanism,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,missingness_process,Bernoulli process calibrated to EHR aggregate rate,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,termination_process,constant synthetic hazard calibrated to EHR aggregate prevalence,hybrid_ehr_rate_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,behavior_state_dependence,synthetic severity tilt over EHR aggregate action counts,hybrid_ehr_counts_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,support_mask_state_dependence,EHR-supported actions broadcast over synthetic states,hybrid_ehr_support_synthetic_process,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,initial_state_distribution,synthetic severity/subtype/missingness distribution,synthetic_finite_design,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,world_model_weights,retrained separately per environment and seed,independent_synthetic_retraining,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
aki,aki_rrt,exact_policy_truth,backward induction in known finite mechanism,synthetic_exact_truth,Known-value construction detail; not estimated as an EHR action response,intentional_task_difference_historical_K4_transition_view_vs_daily_RRT_K2,False,adaptive benchmark config and runner,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,action_count,8,ehr_aggregate,Frozen retrospective action contract cardinality,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,supported_action_count,8,ehr_aggregate,Train-frozen supported action classes,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,decision_horizon,12,ehr_aggregate_contract,Nominal repeated-decision horizon,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,missingness_rate,0.1512671704730492,ehr_aggregate,Aggregate observation missingness rate only,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,termination_prevalence,0.1482666666666666,ehr_aggregate,Aggregate terminal prevalence only,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,behavior_top_action_share,0.5078702350632541,ehr_aggregate,Aggregate action-count concentration,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,reward_scale,1.0,synthetic_normalization,Unit synthetic reward-scale convention,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,reward_sparsity,mixed_dense_terminal,synthetic_contract_specification,Mixed dense-terminal synthetic reward design,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,state_count,61,synthetic_finite_design,Finite severity/subtype/momentum/observation layout,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
heart_failure,heart_failure,response_components,low_state_harm;high_state_insufficient_action;intermediate_optimum;toxicity;delayed_benefit;subtype_heterogeneity;switch_cost;terminal_dense_tradeoff;partial_subtype_observation,synthetic_known_mechanism,Action-response and toxicity mechanisms known by construction,intentional_action_difference_historical_binary_context_vs_6h_dose_context_K8,False,adaptive benchmark adaptive_environment_contract.csv,"Development-only aggregate EHR forecasting diagnostics are descriptively compared with exact finite known-construction policy diagnostics. This is not causal evidence, independent generalization, treatment benefit, clinical utility, deployment readiness, or real-EHR policy superiority."
